time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2023-12-01,0,-55.8,-74.6,-68.8,-65.6,-84.3,-77.9,0.0,0.0,0.0,8.5,16.8,217,8.95,0.001
2023-12-02,2,-53.8,-73.1,-65.7,-65.1,-82.7,-75.0,0.0,0.0,0.0,8.6,17.2,213,8.86,0.001
2023-12-03,3,-52.4,-70.9,-63.9,-61.6,-81.0,-73.3,0.0,0.0,0.0,9.0,16.8,225,8.67,0.001
2023-12-04,3,-46.0,-66.2,-60.7,-58.3,-76.3,-70.2,0.0,0.0,0.0,11.1,19.7,231,8.67,0.001
2023-12-05,3,-47.3,-67.5,-60.0,-59.6,-78.9,-72.2,0.0,0.0,0.0,16.3,27.5,247,7.92,0.002
2023-12-06,0,-42.1,-63.0,-57.4,-55.6,-73.3,-68.5,0.0,0.0,0.0,15.7,27.7,238,8.63,0.002
2023-12-07,3,-40.1,-61.1,-53.8,-53.6,-71.5,-64.5,0.0,0.0,0.0,14.0,24.6,233,8.55,0.002
2023-12-08,3,-41.2,-64.6,-56.0,-55.0,-74.0,-66.5,0.0,0.0,0.0,14.4,24.8,224,8.41,0.002
2023-12-09,3,-46.1,-60.6,-56.1,-55.2,-71.5,-66.5,0.0,0.0,0.0,8.1,14.3,34,6.3,0.002
2023-12-10,73,-46.4,-59.9,-56.3,-54.8,-69.0,-65.5,0.0,0.799,10.0,6.1,10.7,50,3.6,0.001
2023-12-11,3,-52.0,-68.2,-61.6,-60.1,-77.4,-71.1,0.0,0.0,0.0,8.3,15.2,234,5.84,0.001
2023-12-12,71,-54.5,-67.5,-62.1,-63.8,-78.4,-71.7,0.0,0.11,4.0,8.6,13.6,37,3.35,0.001
2023-12-13,73,-55.8,-60.6,-58.8,-65.3,-70.3,-68.1,0.008,0.992,18.0,6.1,11.4,27,1.52,0.0
2023-12-14,73,-61.3,-87.2,-78.8,-72.7,-99.4,-91.1,0.0,0.772,10.0,14.9,25.9,8,5.61,0.0
2023-12-15,3,-77.3,-92.9,-86.9,-88.7,-102.4,-97.8,0.0,0.0,0.0,11.2,19.5,293,8.44,0.0
2023-12-16,0,-78.4,-93.3,-87.0,-86.8,-102.8,-96.8,0.0,0.0,0.0,9.4,19.9,254,8.69,0.0
2023-12-17,2,-73.6,-91.4,-85.8,-85.5,-101.1,-95.3,0.0,0.0,0.0,10.0,19.5,126,8.61,0.0
2023-12-18,1,-72.7,-94.6,-84.9,-84.6,-103.5,-95.3,0.0,0.0,0.0,11.0,19.9,282,8.66,0.0
2023-12-19,3,-80.5,-97.9,-91.6,-90.8,-107.7,-101.4,0.0,0.0,0.0,10.5,19.7,270,8.61,0.0
2023-12-20,0,-83.5,-102.1,-95.1,-96.4,-110.8,-105.2,0.0,0.0,0.0,12.4,23.0,322,8.67,0.0
2023-12-21,3,-80.9,-100.4,-93.4,-90.4,-109.0,-102.5,0.0,0.0,0.0,7.5,15.7,8,8.16,0.0
2023-12-22,71,-79.1,-96.2,-88.5,-89.9,-105.4,-97.7,0.0,0.055,2.0,7.3,16.1,4,8.3,0.0
2023-12-23,3,-77.1,-96.0,-89.1,-86.2,-104.6,-98.5,0.0,0.0,0.0,7.0,15.4,222,8.36,0.0
2023-12-24,2,-67.3,-90.6,-83.9,-76.0,-100.5,-93.3,0.0,0.0,0.0,5.9,10.5,38,8.49,0.0
2023-12-25,3,-61.4,-85.4,-76.2,-70.0,-95.2,-85.3,0.0,0.0,0.0,6.7,10.7,36,8.1,0.001
2023-12-26,3,-60.8,-82.8,-75.8,-69.5,-92.8,-84.6,0.0,0.0,0.0,6.1,9.6,233,8.21,0.001
2023-12-27,3,-62.2,-84.4,-75.2,-71.3,-92.6,-83.8,0.0,0.0,0.0,6.3,9.8,286,8.01,0.001
2023-12-28,71,-61.8,-82.6,-75.7,-71.5,-91.4,-84.7,0.0,0.028,1.0,5.3,11.2,227,5.59,0.0
2023-12-29,71,-59.1,-79.0,-72.2,-70.3,-89.6,-81.7,0.0,0.138,3.0,8.4,15.9,257,6.24,0.0
2023-12-30,3,-59.5,-82.4,-72.6,-71.2,-92.1,-82.1,0.0,0.0,0.0,11.1,19.9,316,7.56,0.001
2023-12-31,3,-61.8,-81.2,-72.7,-70.0,-90.2,-81.6,0.0,0.0,0.0,5.9,12.3,199,7.64,0.0
2024-01-01,3,-60.6,-81.1,-74.1,-70.6,-90.1,-83.4,0.0,0.0,0.0,5.9,12.5,211,7.82,0.001
2024-01-02,3,-59.2,-82.4,-74.4,-69.7,-92.5,-83.9,0.0,0.0,0.0,6.9,13.2,261,8.05,0.001
2024-01-03,1,-58.1,-80.4,-71.7,-70.1,-90.3,-81.2,0.0,0.0,0.0,10.4,19.7,209,8.82,0.001
2024-01-04,2,-57.5,-82.3,-73.6,-70.0,-92.3,-83.6,0.0,0.0,0.0,11.6,21.0,223,8.82,0.001
