time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-01-05,1,-60.1,-88.2,-76.7,-71.6,-97.6,-86.3,0.0,0.0,0.0,8.9,16.8,331,9.17,0.001
2024-01-06,0,-68.6,-89.4,-81.7,-76.9,-99.2,-91.0,0.0,0.0,0.0,6.9,14.3,72,9.16,0.0
2024-01-07,3,-64.4,-83.1,-76.5,-73.8,-92.5,-85.3,0.0,0.0,0.0,5.4,10.5,83,7.31,0.0
2024-01-08,71,-61.7,-79.3,-71.6,-70.8,-88.1,-80.5,0.0,0.193,7.0,7.7,14.5,341,8.08,0.001
2024-01-09,0,-60.4,-80.8,-73.6,-69.7,-90.2,-83.1,0.0,0.0,0.0,9.2,17.9,224,9.11,0.001
2024-01-10,0,-56.5,-76.8,-69.5,-65.5,-85.5,-78.5,0.0,0.0,0.0,9.7,18.1,211,9.22,0.001
2024-01-11,3,-54.4,-75.0,-67.6,-62.5,-84.2,-76.5,0.0,0.0,0.0,6.7,10.3,152,9.35,0.001
2024-01-12,3,-53.4,-73.8,-66.3,-61.6,-83.6,-75.7,0.0,0.0,0.0,6.6,13.0,69,6.82,0.001
2024-01-13,3,-55.6,-82.5,-70.8,-65.5,-91.7,-81.2,0.0,0.0,0.0,12.5,22.8,25,8.7,0.001
2024-01-14,0,-60.9,-84.4,-75.5,-68.7,-94.0,-84.8,0.0,0.0,0.0,6.0,9.6,47,9.91,0.001
2024-01-15,3,-54.0,-76.9,-68.6,-62.8,-86.7,-77.6,0.0,0.0,0.0,5.1,9.2,64,9.46,0.001
2024-01-16,71,-53.5,-69.3,-63.1,-62.3,-78.5,-71.6,0.0,0.248,7.0,4.2,8.9,129,6.42,0.001
2024-01-17,3,-53.0,-73.6,-65.7,-61.6,-82.8,-74.7,0.0,0.0,0.0,5.6,9.4,86,7.94,0.001
2024-01-18,73,-52.0,-65.5,-60.6,-60.1,-74.6,-69.7,0.0,1.13,10.0,7.7,13.6,44,3.95,0.001
2024-01-19,73,-55.7,-79.0,-65.8,-66.7,-90.7,-77.1,0.0,0.882,13.0,16.3,28.4,225,8.08,0.001
2024-01-20,3,-70.9,-91.2,-85.1,-79.8,-102.1,-96.1,0.0,0.0,0.0,11.9,19.5,15,10.3,0.0
2024-01-21,3,-80.2,-98.8,-90.2,-89.4,-108.1,-99.4,0.0,0.0,0.0,8.9,17.4,30,10.51,0.0
2024-01-22,0,-77.9,-99.4,-90.4,-87.9,-108.4,-99.7,0.0,0.0,0.0,6.8,14.5,30,10.69,0.0
2024-01-23,3,-73.6,-95.3,-87.1,-84.0,-105.4,-96.1,0.0,0.0,0.0,6.7,15.2,224,10.69,0.0
2024-01-24,3,-72.2,-93.1,-84.0,-82.6,-102.8,-93.2,0.0,0.0,0.0,7.1,15.7,212,10.44,0.0
2024-01-25,0,-70.0,-90.1,-82.1,-79.7,-99.8,-91.3,0.0,0.0,0.0,6.8,15.4,179,11.03,0.0
2024-01-26,0,-68.9,-90.3,-82.1,-78.4,-98.9,-90.9,0.0,0.0,0.0,4.7,12.8,194,11.12,0.0
2024-01-27,2,-64.6,-85.5,-77.9,-74.1,-94.4,-86.7,0.0,0.0,0.0,5.2,12.5,120,11.24,0.001
2024-01-28,0,-56.7,-86.8,-75.3,-65.4,-96.7,-84.8,0.0,0.0,0.0,6.2,11.9,50,11.4,0.001
2024-01-29,3,-54.1,-75.9,-67.1,-64.5,-85.5,-76.9,0.0,0.0,0.0,10.2,20.1,188,11.27,0.001
2024-01-30,3,-54.0,-80.8,-70.0,-65.9,-92.5,-81.0,0.0,0.0,0.0,10.2,20.1,35,9.91,0.001
2024-01-31,3,-56.5,-74.6,-68.6,-67.9,-87.9,-80.7,0.0,0.0,0.0,16.6,27.5,43,7.93,0.001
2024-02-01,3,-56.5,-73.0,-64.7,-65.6,-82.6,-74.1,0.0,0.0,0.0,6.2,13.2,41,7.39,0.001
2024-02-02,3,-53.9,-77.3,-66.6,-62.2,-88.1,-76.6,0.0,0.0,0.0,8.9,15.2,38,10.69,0.001
2024-02-03,73,-53.5,-74.4,-66.9,-61.9,-84.8,-76.6,0.0,0.22,5.0,7.5,12.1,33,6.12,0.001
2024-02-04,73,-57.2,-64.9,-62.3,-66.5,-75.8,-72.6,0.0,0.634,16.0,10.1,18.8,220,5.54,0.001
2024-02-05,71,-57.4,-81.4,-70.2,-69.1,-90.8,-80.1,0.004,0.055,2.0,9.6,18.8,15,10.26,0.001
2024-02-06,2,-62.0,-84.9,-75.0,-71.3,-94.4,-84.3,0.0,0.0,0.0,6.5,11.9,43,12.46,0.001
2024-02-07,3,-61.2,-80.6,-72.4,-70.0,-89.5,-81.2,0.0,0.0,0.0,6.3,14.8,269,12.38,0.001
2024-02-08,1,-56.2,-81.3,-71.8,-67.8,-90.9,-81.4,0.0,0.0,0.0,9.6,19.0,229,12.62,0.001
2024-02-09,2,-55.8,-81.4,-69.6,-66.2,-90.6,-79.2,0.0,0.0,0.0,12.8,20.8,237,12.77,0.001
2024-02-10,1,-51.8,-79.8,-67.0,-61.6,-89.2,-76.9,0.0,0.0,0.0,13.4,21.9,242,12.96,0.002
2024-02-11,0,-43.4,-69.6,-61.0,-54.2,-80.0,-70.5,0.0,0.0,0.0,8.1,16.6,215,13.19,0.002
2024-02-12,2,-40.8,-68.1,-56.2,-49.8,-77.1,-65.4,0.0,0.0,0.0,8.8,17.4,209,13.38,0.003
2024-02-13,3,-39.5,-62.2,-54.6,-49.2,-73.1,-64.8,0.0,0.0,0.0,9.6,17.9,17,10.54,0.002
2024-02-14,73,-49.8,-71.7,-62.8,-59.1,-81.0,-73.0,0.0,0.11,2.0,12.5,22.8,198,12.95,0.002
2024-02-15,3,-42.4,-67.1,-59.5,-55.0,-77.6,-70.3,0.0,0.0,0.0,12.6,23.0,215,13.1,0.002
2024-02-16,3,-37.0,-62.1,-50.8,-45.1,-72.6,-60.7,0.0,0.0,0.0,11.1,21.7,205,13.58,0.004
2024-02-17,71,-36.0,-58.6,-52.4,-45.6,-71.1,-63.6,0.0,0.083,2.0,16.0,28.4,28,10.57,0.003
2024-02-18,3,-51.1,-76.8,-67.2,-61.9,-88.3,-78.3,0.0,0.0,0.0,12.9,23.0,30,12.19,0.001
2024-02-19,71,-61.0,-74.2,-68.3,-71.8,-86.8,-80.5,0.0,0.276,9.0,13.2,23.7,45,6.35,0.001
2024-02-20,73,-63.7,-75.3,-70.1,-75.0,-89.6,-83.2,0.004,0.799,19.0,15.8,27.5,44,6.57,0.001
2024-02-21,3,-63.6,-82.8,-75.0,-71.4,-94.9,-87.0,0.0,0.0,0.0,15.4,27.1,48,13.84,0.001
2024-02-22,3,-58.3,-76.7,-69.5,-68.0,-86.2,-78.9,0.0,0.0,0.0,8.6,15.0,39,14.7,0.001
2024-02-23,71,-57.8,-72.1,-66.3,-66.1,-81.7,-75.4,0.0,0.055,2.0,6.4,15.4,248,13.26,0.001
2024-02-24,1,-54.2,-75.3,-66.5,-62.3,-84.2,-75.2,0.0,0.0,0.0,5.8,11.9,12,15.31,0.002
2024-02-25,3,-48.5,-66.9,-61.5,-61.4,-77.6,-71.7,0.0,0.0,0.0,15.5,27.7,24,12.99,0.002
2024-02-26,73,-49.5,-60.5,-56.3,-63.1,-71.8,-68.6,0.0,0.799,18.0,15.0,28.2,222,7.34,0.001
2024-02-27,3,-51.5,-70.0,-63.0,-63.3,-82.0,-74.0,0.0,0.0,0.0,12.0,22.8,23,12.72,0.001
2024-02-28,3,-55.2,-81.5,-70.7,-64.8,-92.0,-81.4,0.0,0.0,0.0,11.6,19.2,35,15.73,0.001
2024-02-29,0,-57.2,-81.7,-72.7,-69.9,-91.8,-82.7,0.0,0.0,0.0,14.5,27.5,270,16.52,0.001
2024-03-01,0,-51.1,-70.3,-63.2,-63.4,-80.8,-75.2,0.0,0.0,0.0,16.2,29.3,249,16.68,0.002
2024-03-02,0,-45.7,-70.8,-60.3,-54.0,-80.0,-70.1,0.0,0.0,0.0,14.6,26.6,249,16.93,0.003
2024-03-03,3,-41.4,-65.8,-56.6,-50.3,-75.4,-65.8,0.0,0.0,0.0,7.0,13.9,22,13.94,0.003
2024-03-04,73,-44.4,-59.7,-54.9,-53.8,-72.0,-65.2,0.008,0.634,13.0,13.6,24.8,20,9.9,0.002
2024-03-05,3,-48.4,-72.0,-61.6,-60.3,-81.5,-71.8,0.0,0.0,0.0,11.8,21.5,24,15.89,0.002
2024-03-06,3,-49.9,-68.2,-61.2,-62.8,-77.6,-72.3,0.0,0.0,0.0,15.4,29.5,299,16.63,0.002
2024-03-07,0,-49.7,-72.2,-63.6,-58.3,-81.0,-72.9,0.0,0.0,0.0,14.0,28.2,331,17.67,0.002
2024-03-08,1,-41.8,-68.5,-58.8,-50.6,-77.8,-67.7,0.0,0.0,0.0,6.8,15.4,203,17.85,0.003
2024-03-09,3,-37.9,-64.2,-54.8,-49.9,-73.6,-64.7,0.0,0.0,0.0,10.3,19.7,221,13.99,0.003
2024-03-10,71,-36.9,-64.2,-52.1,-49.0,-73.8,-62.2,0.0,0.028,1.0,12.2,21.7,326,16.82,0.004
2024-03-11,3,-43.7,-69.0,-57.4,-55.2,-77.4,-67.5,0.0,0.0,0.0,11.5,21.9,17,16.39,0.003
2024-03-12,3,-36.1,-63.7,-53.4,-43.3,-72.6,-62.0,0.0,0.0,0.0,7.9,16.6,206,16.88,0.004
2024-03-13,0,-31.7,-63.3,-51.3,-41.4,-72.6,-60.5,0.0,0.0,0.0,9.0,18.3,180,18.54,0.006
2024-03-14,3,-26.3,-59.1,-44.8,-37.9,-69.0,-54.7,0.0,0.0,0.0,12.5,23.5,184,18.29,0.007
2024-03-15,53,-25.4,-55.4,-43.6,-38.6,-65.5,-54.8,0.098,0.0,9.0,16.4,27.3,254,16.7,0.005
2024-03-16,3,-38.5,-66.0,-54.0,-50.6,-75.3,-63.9,0.0,0.0,0.0,13.7,25.9,357,17.6,0.004
2024-03-17,3,-39.0,-60.6,-50.1,-51.2,-73.2,-62.1,0.0,0.0,0.0,19.2,34.2,251,16.91,0.004
2024-03-18,2,-40.1,-65.0,-55.1,-50.1,-76.3,-66.9,0.0,0.0,0.0,20.4,36.7,284,18.58,0.004
2024-03-19,0,-37.2,-68.1,-54.9,-46.1,-77.4,-64.7,0.0,0.0,0.0,12.2,25.1,15,19.36,0.004
2024-03-20,3,-33.3,-61.5,-47.8,-43.4,-70.9,-57.2,0.0,0.0,0.0,7.3,17.0,194,15.44,0.005
2024-03-21,51,-30.2,-61.3,-47.7,-38.2,-71.0,-57.4,0.008,0.0,2.0,15.6,25.9,239,15.84,0.006
2024-03-22,3,-28.1,-53.9,-42.7,-36.1,-64.5,-52.5,0.0,0.0,0.0,9.2,15.7,61,12.12,0.007
2024-03-23,53,-29.2,-48.2,-41.8,-39.4,-57.9,-51.5,0.161,0.0,12.0,8.6,14.3,57,5.43,0.003
2024-03-24,51,-32.2,-53.3,-47.1,-40.8,-62.2,-56.1,0.02,0.0,2.0,7.9,15.7,179,13.62,0.004
2024-03-25,63,-24.1,-53.8,-41.0,-37.7,-63.5,-51.7,0.106,0.0,2.0,18.0,32.0,221,18.38,0.007
2024-03-26,61,-22.3,-47.2,-35.8,-37.6,-57.4,-48.2,0.13,0.0,3.0,19.7,35.8,244,16.5,0.008
2024-03-27,3,-29.4,-65.5,-49.4,-44.6,-75.4,-61.1,0.0,0.0,0.0,20.0,36.5,273,20.04,0.006
2024-03-28,3,-31.6,-59.4,-46.7,-43.2,-68.5,-57.3,0.0,0.0,0.0,19.7,36.7,279,19.89,0.006
2024-03-29,3,-27.6,-58.1,-43.0,-38.1,-67.4,-53.5,0.0,0.0,0.0,14.6,26.2,288,18.87,0.008
2024-03-30,3,-20.3,-55.5,-37.6,-27.3,-64.3,-47.4,0.0,0.0,0.0,15.1,27.1,234,19.92,0.012
2024-03-31,53,-17.1,-51.6,-34.2,-27.8,-61.5,-43.8,0.028,0.0,2.0,10.5,23.9,195,18.59,0.013
